,x,y,mass,size,ecc,signal,raw_mass,ep,frame,particle
0,18.862222222222222,50.98920634920635,0.09246487699825504,1.1403146321596773,0.2510503644442871,0.014970503894955578,12.352590560913086,0.0,0,0.0
1,18.059644670050762,53.22144670050761,0.08018609421998826,1.1507556555065037,0.12831132657604655,0.01297427285919861,12.32915210723877,0.0,1,0.0
2,17.148347943358058,52.969656102494945,0.06885958043495206,1.081007496903435,0.19780899670283755,0.011840318955436802,12.313923835754395,0.0,2,0.0
3,16.254750593824227,50.62648456057007,0.08880698545973605,1.223774776291735,0.1770349847996331,0.01339487785437824,12.344030380249023,0.0,3,0.0
4,15.69297736506094,52.35345327916425,0.07858944720165345,1.2364177939169008,0.13248399404310846,0.011631055737911566,12.326115608215332,0.0,4,0.0
5,15.325114678899082,54.16341743119266,0.1011629307968707,1.2308160938502282,0.20543680776080026,0.014791598252982817,12.356084823608398,0.0,5,0.0
6,15.366710875331565,51.89920424403183,0.06771643748488333,1.1467287113352183,0.29368211891244317,0.011450723845255471,12.313159942626953,0.0,6,0.0
7,15.363468634686347,51.75645756457565,0.07614636078562452,1.209586553743183,0.17962961848349043,0.011941772447930044,12.318928718566895,0.0,7,0.0
8,15.653800475059382,53.735154394299286,0.0910170574568082,1.222561074935622,0.21631551096254092,0.013782274139837345,12.350454330444336,0.0,8,0.0
9,15.712979890310786,52.28214503351615,0.08132669157071522,1.210858851827644,0.17700311192522186,0.012637602894900903,12.33318042755127,0.0,9,0.0
10,16.022262334536702,50.69675090252708,0.10057713406415487,1.1771490575668169,0.08198410535226751,0.015431509739085135,12.370931625366211,1.217060768761656e-06,10,0.0
11,17.097643097643097,53.094949494949496,0.07151783183564628,1.08121393305098,0.21554530650513892,0.012280839810161483,12.31871509552002,0.0,11,0.0
12,18.121076233183857,53.37860345932095,0.0751450573144616,1.1653770976076556,0.10486486734216559,0.012227318743032189,12.32646656036377,0.0,12,0.0
13,18.995320855614974,50.962566844919785,0.08382354795770695,1.083110494015264,0.2031827111606353,0.014232072982124042,12.343083381652832,0.0,13,0.0
14,19.94101876675603,52.062332439678286,0.07371761273406549,1.082086654640068,0.21403111696033586,0.012599189843958913,12.32359790802002,0.0,14,0.0
15,20.700499168053245,53.74043261231281,0.10510893539896372,1.243953763231671,0.1597645915395299,0.014865656420818496,12.365652084350586,1.2531662381689175e-06,15,0.0
16,21.641618497109828,51.120102761721256,0.0769881434201227,1.1566456495566857,0.29628485425533874,0.012608848151657859,12.33348560333252,0.0,16,0.0
17,22.91566265060241,51.00267737617135,0.07180683420819126,1.082290199053162,0.20874173614167976,0.01225618656163907,12.32017993927002,0.0,17,0.0
18,23.701818181818183,53.73030303030303,0.08514969495738672,1.2103092517404321,0.1823016725791908,0.013159498311596131,12.338948249816895,0.0,18,0.0
19,24.12763157894737,52.6546052631579,0.06838627656969408,1.1433445858993094,0.13701337181623918,0.011427706742567299,12.313252449035645,0.0,19,0.0
20,24.090154211150654,50.20759193357058,0.11176203182512545,1.2015213764352435,0.14140888999624135,0.016903510151486945,12.380971908569336,0.0,20,0.0
21,24.68014484007242,52.70006035003018,0.08004291951482252,1.2167112394455473,0.17598619733003767,0.0123180111504404,12.326574325561523,0.0,21,0.0
22,25.008805031446542,53.258490566037736,0.08811075448052365,1.155517254646664,0.12500613674740088,0.014130970058197188,12.343235969543457,0.0,22,0.0
23,25.013306719893546,50.966733200266134,0.08430991763637506,1.0833525255477916,0.1958229070522242,0.014304077842498764,12.34465503692627,0.0,23,0.0
24,24.715965346534652,51.727722772277225,0.07393258555537119,1.20256532726361,0.19680982456266471,0.0116663423988983,12.316868782043457,0.0,24,0.0
25,24.00428134556575,53.312538226299694,0.0990877995557608,1.1736140892904445,0.09770792642132409,0.015454060481173702,12.361577033996582,1.2825336941942867e-06,25,0.0
26,23.164285714285715,51.161904761904765,0.09840514087473456,1.2021805585011327,0.15658732723320715,0.014877920108442012,12.355427742004395,0.0,26,0.0
27,22.961846153846153,50.69230769230769,0.08761600777073618,1.1646062391674243,0.11244904000376942,0.013748973527100139,12.342824935913086,0.0,27,0.0
28,22.185140802875974,53.188136608747755,0.09068560114839645,1.2048931593566086,0.15770228504390046,0.013855499276717252,12.342275619506836,0.0,28,0.0
29,21.479528105482302,52.94934073560028,0.06208101423389879,1.1336748203059366,0.29973845079953665,0.010985883851245102,12.30807876586914,0.0,29,0.0
30,20.267038413878563,50.978934324659235,0.09134563061934005,1.165648342974653,0.27743425663233207,0.014431930488185696,12.349081039428711,0.0,30,0.0
31,19.095460614152202,52.9479305740988,0.07962156251106561,1.083003784047721,0.19629927578736983,0.013553737276583265,12.335699081420898,0.0,31,0.0
32,18.346611177170036,53.755053507728896,0.09405066942738453,1.220855239110378,0.2164032117133981,0.01425857354576876,12.356542587280273,1.320772509734244e-06,32,0.0
33,17.747972551466002,50.930131004366814,0.08097825060761353,1.1554206510394425,0.2543013149487861,0.012831238711374822,12.33104419708252,0.0,33,0.0
34,17.039298669891174,51.31257557436518,0.07900629842958452,1.1838289689863846,0.06394131427966677,0.012180535731284192,12.32658863067627,0.0,34,0.0
35,16.719483568075116,53.872652582159624,0.09325866246641093,1.209071734883376,0.18455556673032641,0.013955961812755156,12.348287582397461,0.0,35,0.0
36,16.054090601757945,52.09330628803245,0.06873290303743143,1.0802799326691457,0.2135418374317058,0.011850500523695073,12.313450813293457,0.0,36,0.0
37,15.198102016607354,50.82502965599051,0.1034434861233534,1.2062018464687714,0.17681186985274355,0.01564536711830078,12.365758895874023,1.252414561999341e-06,37,0.0
