,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
0,60.63455362877328,36.06615285806037,0.060052378003415265,1.1547005383792515,0.13724660288788693,0.009796598595290609,106.04696655273438,1.763219667079901e-05,0,0
1,55.631147540983605,35.84930643127365,0.057966252892410024,1.1648487608102436,0.10085544211535932,0.009319920862272735,106.043212890625,1.8267963310235162e-05,1,0
2,57.473094170403584,36.460762331838566,0.02086574090832996,0.966362510780583,0.49132314251330256,0.005964981986125717,105.99761962890625,3.251058150908607e-05,2,0
3,60.597252747252746,35.996703296703295,0.113761280008021,1.2951727790038392,0.02676576561976429,0.01593908044068426,106.12086486816406,0.0,3,0
4,54.651543793320734,35.810333963453054,0.05535701755085045,1.1671841502435296,0.08147288822210859,0.008894794880571433,106.04052734375,1.8751700563376323e-05,4,0
5,61.02571041948579,36.936400541271986,0.05641704932612257,1.0806453241670524,0.21671885968704216,0.00973365871323495,106.03712463378906,1.940268938297745e-05,5,0
6,59.514786418400874,37.458926615553125,0.018311464756605927,0.9716687692584575,0.4683638092623991,0.0051143740557880735,105.98973083496094,3.757838098484507e-05,6,0
7,54.03564843269822,36.77320221266134,0.08853592762375878,1.1609821415002928,0.264019137359031,0.013821835043905795,106.09030151367188,1.2578412666789785e-05,7,0
8,57.54545454545455,36.496753246753244,0.01930811028251127,0.9753454266559624,0.5400562939846548,0.005328536928615124,105.99415588378906,3.4556790914158127e-05,8,0
9,59.522239665096805,36.452119309262166,0.08535815961426742,1.3848624699590943,0.15688932586226195,0.011345354548416496,106.06990051269531,0.0,9,0
10,54.603954802259885,36.68305084745763,0.0804140897464808,1.2931807237121928,0.1038869245692146,0.011585080726187913,106.07077026367188,0.0,10,0
11,61.96746470227133,37.76550030693677,0.08898131714847848,1.1581509786638302,0.25450707569373476,0.01392893546523144,106.09072875976562,1.2542968051863545e-05,11,0
12,53.77608297742526,37.02928615009152,0.09026046168247004,1.1635610485083527,0.1072123153275355,0.013987893390693954,106.09486389160156,1.220996359031504e-05,12,0
13,59.57523809523809,37.20095238095238,0.025700829867879908,1.0442586798663396,0.24281617100553746,0.006241630110770835,106.00408935546875,2.9272978571594166e-05,13,0
14,59.48150684931507,37.073287671232876,0.04899359347406495,1.147958282856168,0.08770021445749626,0.008557100230059289,106.03337097167969,0.0,14,0
15,55.001235330450896,37.2816553428042,0.08064568127099668,1.1688778715890509,0.2786396392499643,0.012702068390428756,106.07595825195312,1.3896771674086715e-05,15,0
16,58.50690754516472,37.4643995749203,0.02206500118965455,0.9785152169259194,0.45682675161961117,0.005979357389332529,106.00361633300781,2.948768017734286e-05,16,0
17,60.0697827518104,36.93745885450954,0.06941462588768081,1.08584767553137,0.20192037138428515,0.011652883213534304,106.06309509277344,1.5338525767915178e-05,17,0
18,54.27664576802508,36.03526645768025,0.03884935148874924,1.0163244366350577,0.24669633089129914,0.0077637810577045885,106.01805114746094,0.0,18,0
19,61.00189393939394,36.17613636363636,0.0828705445954961,1.145919418253881,0.2521983428065178,0.013340902065562819,106.07865905761719,1.3627816719660162e-05,19,0
20,54.81044126786824,36.05407085146054,0.08294788742447844,1.151646482598951,0.12504240220770096,0.013145874016931014,106.08033752441406,1.3465852567913615e-05,20,0
21,59.79800498753117,35.9357855361596,0.06923812338267098,1.1564090087470011,0.11057400948197847,0.011007307645000686,106.05647277832031,1.6204015828690663e-05,21,0
22,59.10124481327801,35.51535269709544,0.03631480374499359,1.0362716444841216,0.14888319226656813,0.0076848754813056966,106.01853942871094,2.3946652176654634e-05,22,0
23,54.221655328798185,35.218820861678005,0.10802996898363987,1.2614554456142482,0.136541267413858,0.015616577148995558,106.11083984375,0.0,23,0
24,61.2519244226732,36.11546536039188,0.05577745966090388,1.0644059901966025,0.23260696248509602,0.009953290562302652,106.043212890625,0.0,24,0
25,55.68797564687976,36.29984779299848,0.014408004817878349,0.7822225681471492,0.61442785916809,0.005592147988674245,105.9947509765625,3.418711046438164e-05,25,0
26,55.08416547788873,35.79957203994294,0.05542805602205013,1.0572081231677464,0.2269527378654938,0.01004188746761821,106.04376220703125,0.0,26,0
27,60.167661097852026,35.84546539379475,0.09365549239108685,1.200636267276945,0.1839011640076711,0.014249493174061543,106.09127807617188,0.0,27,0
28,57.733333333333334,35.975686274509805,0.04160263951253684,1.0140193756125409,0.23033374289054206,0.008320527902507369,106.02577209472656,0.0,28,0
29,55.38858695652174,36.44945652173913,0.0808097544673682,1.3569467004367146,0.1697454032926454,0.011199177928901571,106.06558227539062,0.0,29,0
30,60.48713692946058,37.05643153526971,0.035242622531166515,1.0366719812363494,0.3973109051439968,0.007457982361367188,106.01554870605469,2.488374518863774e-05,30,0
31,59.968879668049794,36.9844398340249,0.02714753034569644,0.8575996609276595,0.3328631871186697,0.007181141325884432,106.00808715820312,2.7576039773701675e-05,31,0
32,53.64267612772428,36.60364926507856,0.10494786096130548,1.3666433846846,0.1611367974975407,0.013563965811015155,106.09722900390625,0.0,32,0
33,61.20572354211663,37.52159827213823,0.09959917215973885,1.3519444440130017,0.27946557993350557,0.013713708909683264,106.0963134765625,0.0,33,0
34,57.0,37.48896156991006,0.028669063519927693,1.0396867255698934,0.13340853240369502,0.00597760523105606,106.00079345703125,3.08374407576319e-05,34,0
35,56.01878287002254,37.35011269722013,0.0470583669410615,1.0339830567678299,0.21977343329828333,0.009015690135214638,106.0325927734375,0.0,35,0
36,60.64307535641548,37.60845213849287,0.1059913208194638,1.3647437335443136,0.20902487726994326,0.013761602244889648,106.0977783203125,0.0,36,0
